Iteration,Loss,Train_Accuracy,MSE,Precision,Recall,F1_Score
0,2.3026,0.13,0.0999568,0.0615789,0.108333,0.0785235
100,2.29595,0.16,0.0992717,0.016,0.1,0.0275862
200,2.30037,0.13,0.100665,0.013,0.1,0.0230088
300,2.3052,0.05,0.101625,0.005,0.1,0.00952381
400,2.30432,0.08,0.102353,0.008,0.1,0.0148148
500,2.31163,0.09,0.104594,0.009,0.1,0.0165138
600,2.28667,0.2,0.0994348,0.02,0.1,0.0333333
700,2.3079,0.07,0.104094,0.007,0.1,0.0130841
800,2.29344,0.14,0.1011,0.014,0.1,0.0245614
900,2.30315,0.11,0.103139,0.011,0.1,0.0198198
1000,2.2983,0.14,0.102513,0.014,0.1,0.0245614
1100,2.29784,0.12,0.101622,0.012,0.1,0.0214286
1200,2.29389,0.2,0.100613,0.0559188,0.218182,0.0890218
1300,1.60106,0.48,1.88742,0.22958,0.357576,0.279626
1400,0.636057,0.85,12.356,0.843675,0.822727,0.83307
1500,0.448467,0.88,16.0768,0.892695,0.8831,0.887872
1600,0.32179,0.94,19.7621,0.939639,0.888889,0.91356
1700,0.24542,0.94,18.6268,0.943284,0.936416,0.939837
1800,0.210636,0.97,21.0231,0.971197,0.972106,0.971651
1900,0.236178,0.96,23.2851,0.965224,0.952724,0.958934
2000,0.111927,0.99,21.7489,0.991667,0.9875,0.989579
2100,0.123547,1,25.5916,1,1,1
2200,0.0839349,0.99,23.335,0.995,0.98,0.987443
2300,0.0667775,0.99,26.4795,0.99,0.990909,0.990454
2400,0.171121,0.99,23.4925,0.99,0.990909,0.990454
2500,0.166623,0.96,30.0967,0.955556,0.956282,0.955919
2600,0.0529343,1,30.0558,1,1,1
2700,0.0907958,1,31.0932,1,1,1
2800,0.0398557,1,27.5305,1,1,1
2900,0.0825855,1,26.8196,1,1,1
3000,0.100845,0.98,25.6032,0.98,0.978409,0.979204
3100,0.0516665,1,29.187,1,1,1
3200,0.0461056,1,29.826,1,1,1
3300,0.0500431,0.99,33.6095,0.993333,0.9875,0.990408
3400,0.172905,0.98,33.1093,0.98,0.981667,0.980833
3500,0.0287203,1,34.0656,1,1,1
3600,0.0214095,1,36.8112,1,1,1
3700,0.0465971,1,34.498,1,1,1
3800,0.113207,0.99,27.6935,0.992308,0.990909,0.991608
3900,0.0469241,1,33.3547,1,1,1
4000,0.105031,0.99,34.4801,0.990909,0.99,0.990454
4100,0.0735129,0.99,30.2473,0.98,0.99,0.984975
4200,0.0339192,1,30.5143,1,1,1
4300,0.0466739,1,34.8402,1,1,1
4400,0.0386803,0.99,34.031,0.992857,0.990909,0.991882
4500,0.0140769,1,31.6477,1,1,1
4600,0.153967,0.98,30.1382,0.983333,0.981667,0.982499
4700,0.0159858,1,36.0176,1,1,1
4800,0.05949,1,35.3355,1,1,1
4900,0.11904,0.98,33.2325,0.975714,0.978889,0.977299
5000,0.0703745,0.99,36.744,0.993333,0.975,0.984081
5100,0.0325534,1,35.6557,1,1,1
5200,0.0442563,1,29.1937,1,1,1
5300,0.0301076,1,32.0709,1,1,1
5400,0.031906,1,36.0231,1,1,1
5500,0.0478668,1,31.2013,1,1,1
5600,0.0305509,1,31.5162,1,1,1
5700,0.0184869,1,34.3312,1,1,1
5800,0.0799396,0.99,32.0315,0.992308,0.992308,0.992308
5900,0.0161423,1,34.2537,1,1,1
6000,0.0593803,1,37.9862,1,1,1
6100,0.0534689,1,36.4345,1,1,1
6200,0.00575693,1,33.3952,1,1,1
6300,0.0335933,1,36,1,1,1
6400,0.0231324,1,31.897,1,1,1
6500,0.0241297,1,32.4221,1,1,1
6600,0.0147369,1,36.6415,1,1,1
6700,0.0683409,0.99,29.8988,0.990909,0.985714,0.988305
6800,0.0389314,1,39.1221,1,1,1
6900,0.0224844,1,34.4789,1,1,1
7000,0.0108991,1,35.9356,1,1,1
7100,0.0522508,0.98,35.5436,0.983217,0.982576,0.982896
7200,0.0358179,1,38.9455,1,1,1
7300,0.00964139,1,40.4126,1,1,1
7400,0.0187258,1,39.1398,1,1,1
7500,0.0299307,1,37.5406,1,1,1
7600,0.0166105,1,40.4743,1,1,1
7700,0.0153427,1,39.8696,1,1,1
7800,0.0346675,0.99,37.2431,0.994444,0.99,0.992217
7900,0.0402714,1,38.0236,1,1,1
8000,0.0101607,1,36.7644,1,1,1
8100,0.0341853,1,36.4056,1,1,1
8200,0.0185218,1,39.5001,1,1,1
8300,0.0572196,1,38.2704,1,1,1
8400,0.0789712,0.99,33.5728,0.990909,0.992857,0.991882
8500,0.0579808,0.99,36.0148,0.992308,0.9875,0.989898
8600,0.0280271,1,40.1473,1,1,1
8700,0.0187826,1,37.7978,1,1,1
8800,0.0208526,1,37.126,1,1,1
8900,0.00752102,1,40.1683,1,1,1
9000,0.0641939,1,39.2781,1,1,1
9100,0.0155897,1,36.2046,1,1,1
9200,0.0800973,0.98,34.7339,0.960714,0.960714,0.960714
9300,0.0142286,1,39.698,1,1,1
9400,0.00715894,1,41.38,1,1,1
9500,0.0490939,1,36.6156,1,1,1
9600,0.0186608,1,36.8649,1,1,1
9700,0.0221342,1,39.9743,1,1,1
9800,0.105858,0.98,42.6206,0.979798,0.982576,0.981185
9900,0.0453936,1,39.783,1,1,1
