Iteration,Train_Loss,Train_Acc,Val_Loss,Val_Acc
0,2.30178,0.15,2.30204,0.08
100,0.528098,0.83,0.764069,0.75
200,0.174609,0.98,0.160136,0.93
300,0.173633,0.95,0.142386,0.96
400,0.118803,0.96,0.132298,0.96
500,0.134715,0.98,0.086209,0.96
600,0.0359037,1,0.0924153,0.97
700,0.033677,1,0.0277278,0.99
800,0.10994,0.98,0.0372685,0.99
900,0.105248,1,0.0242555,0.99
1000,0.0592521,0.99,0.0588614,0.98
1100,0.0734414,0.99,0.0562323,0.98
1200,0.00862768,1,0.0547688,0.98
1300,0.033082,1,0.0190428,1
1400,0.0167,1,0.0171054,1
1500,0.0260927,1,0.0613681,0.99
1600,0.0705719,1,0.0372149,0.98
1700,0.0876292,0.99,0.0397237,0.99
1800,0.0944518,0.99,0.0474068,0.97
1900,0.0131718,1,0.0380437,0.97
2000,0.00628167,1,0.0257465,0.99
2100,0.0399917,1,0.0638963,0.98
2200,0.0104735,1,0.0667118,0.98
2300,0.0387938,1,0.0713799,0.97
2400,0.0149398,1,0.0191851,0.99
2500,0.0351686,1,0.0211327,1
2600,0.0400984,1,0.02485,0.99
2700,0.0160243,1,0.0145413,1
2800,0.0502305,1,0.0982335,0.96
2900,0.00259069,1,0.0167581,0.99
3000,0.0200393,1,0.0187383,0.99
3100,0.0347162,1,0.0250125,0.99
3200,0.0275498,1,0.00742234,1
3300,0.0106436,1,0.0207053,0.99
3400,0.0544777,0.99,0.0642402,0.97
3500,0.089286,1,0.00841035,1
3600,0.0191454,1,0.00990383,1
3700,0.0101674,1,0.0136533,1
3800,0.0466462,1,0.00572841,1
3900,0.0106905,1,0.0073554,1
4000,0.06439,1,0.021054,0.99
4100,0.0169954,1,0.025989,0.99
4200,0.0219237,1,0.00334504,1
4300,0.0107046,1,0.110396,0.97
4400,0.020015,1,0.0798121,0.97
4500,0.0121058,1,0.0490201,0.98
4600,0.0107388,1,0.0160603,0.99
4700,0.0448259,1,0.0222935,1
4800,0.0203243,1,0.022977,0.99
4900,0.00692934,1,0.0162155,1
5000,0.00307365,1,0.00943378,1
5100,0.027053,1,0.0268925,0.99
5200,0.0547629,0.99,0.0223283,0.99
5300,0.0349338,1,0.0225483,0.99
5400,0.0126211,1,0.00784221,1
5500,0.0605324,0.99,0.00384935,1
5600,0.0132539,1,0.00672158,1
5700,0.0101771,1,0.014977,0.99
5800,0.00312725,1,0.00948361,1
5900,0.0028349,1,0.0280492,0.99
6000,0.00379253,1,0.0029046,1
6100,0.00387871,1,0.0297366,0.99
6200,0.0355031,1,0.0068699,1
6300,0.0190984,1,0.0147677,1
6400,0.0597542,1,0.0104081,1
6500,0.00527146,1,0.0249119,0.99
6600,0.0188754,1,0.0109883,1
6700,0.0156777,1,0.0300685,0.98
6800,0.044807,1,0.00588597,1
6900,0.00393852,1,0.106464,0.96
7000,0.00395762,1,0.00243291,1
7100,0.00846251,1,0.0553113,0.98
7200,0.00353558,1,0.0875286,0.96
7300,0.0143877,1,0.00242485,1
7400,0.0299112,1,0.0285696,0.98
7500,0.00822843,1,0.00473747,1
7600,0.0196357,1,0.0440755,0.99
7700,0.0343475,1,0.0621164,0.98
7800,0.00933974,1,0.0102244,1
7900,0.0124724,1,0.0363548,0.99
8000,0.00805857,1,0.0455213,0.98
8100,0.0176365,1,0.0148452,0.99
8200,0.0460909,0.98,0.0506779,0.97
8300,0.0132059,1,0.0117637,0.99
8400,0.00456576,1,0.0271213,0.99
8500,0.00561023,1,0.0102083,1
8600,0.0205433,1,0.00572212,1
8700,0.0120959,1,0.0718039,0.98
8800,0.0102821,1,0.098378,0.98
8900,0.00816643,1,0.00735719,1
9000,0.00822557,1,0.0282966,0.98
9100,0.0062853,1,0.0458224,0.99
9200,0.0123009,1,0.0200757,1
9300,0.0125534,1,0.00267943,1
9400,0.0480338,1,0.0288885,0.99
9500,0.018517,1,0.0827955,0.98
9600,0.0129589,1,0.00154073,1
9700,0.0174448,1,0.00960404,1
9800,0.0642789,0.99,0.0338723,0.99
9900,0.0260007,1,0.0152465,0.99
